University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Groningen,RUG,Letteren,Academic English for International Students,,I.J. van Dommele,,The assessment level for this course in terms of language is B2.1. This means that students' entry level should not be too far removed from this level of English in order to pass the course.,,"After successful completion of this course, students are able to:1. write coherent, well-structured academic essays in English, in an academic stylein accordance with CEFR level B2 (or higher);2. give a coherent, well-structured presentation in English, in an academic style, in accordance with CEFR level B2 (or higher);3. use (academic) sources to support their argument.",,,"Through instructions, assignments, and feedback students work on their English proficiency. The course focusses on writing, reading, and speaking English in academic contexts. Students work on other aspects which are often problematic for international students such as grammar, collocations, and vocabulary through guided self-study. Another important aspect is the development of academic skills, such as critical thinking, argumentation, source use and integration, and research.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/let/vak/show?code=LBU038B10,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=17776
University of Groningen,RUG,Honours College,Winter School Academic Freedom,,A. Rachovitsa  PhD.,,Open to students of all faculties.Only open to students who have been selected for this part of the programme and have completed a Broadening Module successfully.Only available for students who have been accepted into the BA Honours College Programme.,,"Connected broadening module: Winter Schools are not connected to a specific broadening module.Destination: Groningen and Utrecht (N.B. If COVID-19 circumstances do not allow to travel to Utrecht, I will organise the winter school with physical meetings only in Groningen. If education is only allowed in an online format, the summer school will be held online in that same period)Period: 11-13 & 18-20 February 2022Maximum number of places: 18-22Atelier in: semester 2 (2022)Students contribution: € 75,- Participation in the atelier from abroad: not possibleLearning Outcomes•	gain a deeper understanding of the value and function of academic freedom to teachers, students and society at large •	familiarise with the risks that scholars and students face in pursuit of knowledge•	acquire project management skills, including designing and implementing an advocacy campaign •	work effectively in a group •	communicate creatively your work to the academic community and the general public",,,"Overview 	What is academic freedom?	Is academic freedom important only to students and scholars or also to society in general?	What are the threats and challenges to academic freedom today?	Is academic freedom realized and experienced in the same way in different parts of the word?The Winter School on Academic Freedom critically engages with these questions by way of focusing on the three main matters of concern:	scholars at risk;	ethical questions in modern society;	Freedom of expression and publication.Moreover, the Winter School takes a multidisciplinary approach to the theme, intertwining philosophical, legal, economic, ethical and sociological perspectives to these issues. During the Winter School students will engage with the content and the complexities surrounding academic freedom and they will engage with different theoretic approaches and discussions in the field. A mixture of lectures, workshops and discussion sessions will take place. Furthermore, in partnership with Scholars at Risk, students will take on the case of one or more scholars facing unjust restrictions, prosecution, or imprisonment. Students will design and implement an advocacy campaign for one or more scholars at risk. In the Atelier the teams will continue working on their case study and campaign for the scholar(s). Students will present their work and campaign during the Petrus Camper Festival in June 2022.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=HCSW002605,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=12168
University of Groningen,RUG,Honours College,Winter School Academic Freedom,,"prof. dr. G.P. Mifsud Bonnici
              M. Tudorica  LLM.",,Open to students of all faculties.Only open to students who have been selected for this part of the programme and have completed a Broadening Module successfully.Only available for students who have been accepted into the BA Honours College Programme.,,,,,"Winter School - Malala cohort (2017-2018)Connected broadening module: Winter Schools are not connected to a specific broadening module.Destination: Groningen and AmsterdamPeriod: February 2020 (two weekends: Friday, Saturday, Sunday)Number of places: 20Atelier in: semester 2 (2019-2020)Students contribution: between € 50,- and € 75,-Participation in the atelier from abroad: not possible.Short description: “Academic freedom is the freedom of teachers and students to teach, study, and pursue knowledge and research without unreasonable interference or restriction from law, institutional regulations, or public pressure. Its basic elements include the freedom of teachers to inquire into any subject that evokes their intellectual concern; to present their findings to their students, colleagues, and others; to publish their data and conclusions without control or censorship, and to teach in the manner they consider professionally appropriate. For students, the basic elements include the freedom to study subjects that concern them and to form conclusions for themselves and express their opinions.”Academic Freedom is important for teachers and students but also for the benefits to society. Society is best served when the educational process leads to the advancement of knowledge, and knowledge is best advanced when the inquiry is free from restraints. But what about Academic Freedom in countries without democratic traditions? What about Academic Freedom in modern society, when scholars may be influenced for reasons such as money? What about Academic Freedom and the freedom of expression and publication? What about highly educated student fugitives? What are the threats to Academic Freedom? The Winter School on Academic Freedom focuses on the three main issues of concern:• Imprisoned scholars/scholars at risk;• Ethical questions in modern society;• Freedom of expression and publication.The Winter School intends to deepen insights into the complexity of the Academic Freedom related issues mentioned above. The Winter School takes a multidisciplinary approach to the theme, intertwining philosophical, legal, economic, psychological and sociological perspectives to the issues. These issues will be addressed by a mixture of lectures, workshops and discussion sessions. The Winter School will provide all participants with a thought-provoking view on Academic Freedom and all matters involved with it. Participants will have the opportunity to work on case studies and identify action points to effectively contribute to enhancing Academic Freedom. Together with their team and coach, participants will choose a project in order to solve a specific problem and prepare an action plan in order to actively contribute to enhancing Academic Freedom.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=HCSWX001105,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=1472
University of Groningen,RUG,Honours College,Winter School Academic Freedom,,"prof. dr. G.P. Mifsud Bonnici
              M. Tudorica  LLM.",,Open to students of all faculties.Only open to students who have been selected for this part of the programme and have completed a Broadening Module successfully.Only available for students who have been accepted into the BA Honours College Programme.,,,,,"Winter School - Franklin cohort (2016-2017)Connected broadening module: Winter Schools are not connected to a specific broadening module.Destination: Groningen and AmsterdamPeriod: February 2019 (two weekends)Number of places: 22Atelier in: semester 2 (2018-2019)Students contribution: between € 50,- and € 60,-Participation in the atelier from abroad: not possible.Short description: “Academic freedom is the freedom of teachers and students to teach, study, and pursue knowledge and research without unreasonable interference or restriction from law, institutional regulations, or public pressure. Its basic elements include the freedom of teachers to inquire into any subject that evokes their intellectual concern; to present their findings to their students, colleagues, and others; to publish their data and conclusions without control or censorship; and to teach in the manner they consider professionally appropriate. For students, the basic elements include the freedom to study subjects that concern them and to form conclusions for themselves and express their opinions.”Academic Freedom is important for the teachers and students but also for the benefits to society. Society is best served when the educational process leads to the advancement of knowledge, and knowledge is best advanced when inquiry is free from restraints. But what about Academic Freedom in countries without democratic traditions? What about Academic Freedom in modern society, when scholars may be influenced for reasons such as money? What about Academic Freedom and the freedom of expression and publication? What about highly educated student fugitives? What are the threats to Academic Freedom? The Winter School on Academic Freedom focuses on the three main issues of concern:• Imprisoned scholars/scholars at risk;• Ethical questions in modern society;• Freedom of expression and publication.The Winter School intends to deepen insights in the complexity of the Academic Freedom related issues mentioned above. The Winter School takes a multidisciplinary approach to the theme, intertwining philosophical, legal, economic, psychological and sociological perspectives to the issues. These issues will be addressed by a mixture of lectures, workshops and discussion sessions. The Winter School will provide all participants with a thought-provoking view on Academic Freedom and all matters involved with it. Participants will have the opportunity to work on case studies and identify action points to effectively contribute to enhancing Academic Freedom. Together with their team and coach, participants will choose a project in order to solve a specific problem and prepare an action plans in order to actively contribute to enhancing Academic Freedom.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=HCPL40203,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=1472
University of Groningen,RUG,Honours College,Academic Freedom (Honours College),,"prof. dr. G.P. Mifsud Bonnici
              M. Tudorica  LLM.",,Open only to Honours College students.Only open to students who have been selected for this part of the programme and have completed a Broadening Module successfully.Only available for students who have been accepted into the BA Honours College Programme.,,,,,"Winter School - Einstein cohort (2015-2016)Connected broadening module: Winter Schools are not connected to a specific broadening module.Destination: Groningen and AmsterdamPeriod: February 2018 (two weekends)Number of places: 25Atelier in: semester 2 (2017-2018)Students contribution: between € 50,- and € 80,-Participation in the atelier from abroad: not possible. Short description: “Academic freedom is the freedom of teachers and students to teach, study, and pursue knowledge and research without unreasonable interference or restriction from law, institutional regulations, or public pressure. Its basic elements include the freedom of teachers to inquire into any subject that evokes their intellectual concern; to present their findings to their students, colleagues, and others; to publish their data and conclusions without control or censorship; and to teach in the manner they consider professionally appropriate. For students, the basic elements include the freedom to study subjects that concern them and to form conclusions for themselves and express their opinions.”Academic Freedom is important for the teachers and students but also for the benefits to society. Society is best served when the educational process leads to the advancement of knowledge, and knowledge is best advanced when inquiry is free from restraints. But what about Academic Freedom in countries without democratic traditions? What about Academic Freedom in modern society, when scholars may be influenced for reasons such as money? What about Academic Freedom and the freedom of expression and publication? What about highly educated student fugitives? What are the threats to Academic Freedom? The Winter School on Academic Freedom focuses on the three main issues of concern:• Imprisoned scholars/scholars at risk;• Ethical questions in modern society;• Freedom of expression and publication.The Winter School intends to deepen insights in the complexity of the Academic Freedom related issues mentioned above. The Winter School takes a multidisciplinary approach to the theme, intertwining philosophical, legal, economic, psychological and sociological perspectives to the issues. These issues will be addressed by a mixture of lectures, workshops and discussion sessions. The Winter School will provide all participants with a thought-provoking view on Academic Freedom and all matters involved with it. Participants will have the opportunity to work on case studies and identify action points to effectively contribute to enhancing Academic Freedom. Together with their team and coach, participants will choose a project in order to solve a specific problem and prepare an action plans in order to actively contribute to enhancing Academic Freedom.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=_HCPL40203,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=1472
University of Groningen,RUG,,,,,,,,,,,,,https://www.rug.nl/ocasys/rug/main,,
University of Groningen,RUG,Gedrags- en MaatschappijWetenschappen,Academic learning communities,,diverse docenten,,,,"1. De student is in staat samenhang te zien en te ontwikkelen tussen de leerlijnen van het curriculum (vakinhoud, methodologie, academische vaardigheden, klinische vaardigheden). 2. De student kan de waarde van – door middel van zelfstandig uitgevoerd wetenschappelijk onderzoek verkregen – kennis en inzichten beoordelen en daarover schriftelijk en mondeling rapporteren. 3. De student participeert actief en betrokken in een academische gemeenschap en kan daardoor academische (onderzoeks)vaardigheden onderscheiden en toepassen. 4. De student kan vakoverstijgende kennis en inzichten toepassen op vraagstukken uit (ortho)pedagogische en onderwijskundige werkvelden en beroepspraktijken.",,,"In de Academic Learning Communities (ALC’s) in Ba-2 werken de studenten in een jaargroep aan een vakoverstijgend project, waarin de reflectie op de dynamiek tussen praktijk en wetenschap centraal staat.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/gmw/vak/show?code=PABA2010,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=374
University of Groningen,RUG,,,,,,,,,,,,,https://www.rug.nl/ocasys/rug/main,,
University of Groningen,RUG,Science and Engineering,Academic Research & Communication Skills 1,,dr. K. Gier,,,,- The student has knowledge about codes of conduct that apply to research;- The student has knowledge about formulating a scientific research question; - The student is able to find and critically read scientific literature relevant to a defined research question;- The student is able to apply his/her knowledge and skills in tackling a research problem;- The student is able to present the main features of a research problem in a poster;- The student is able to explain a research problem orally to students and lecturers during a poster presentation;- The student is able to write an essay about a research problem;- The student is familiar with the various research fields within the Groningen Research Institute of Pharmacy.,,,"- To develop academic research and communication skills, namely how toa. formulate a research questionb. find relevant scientific papers (introduction PubMed, WoS)c. critically read and comment on scientific papersd. write scientifically (incl. poster preparation)e. present research orally- To learn about research codes of conduct with respect to:a. Principles underlying the Dutch Code of Conduct for Academic Practice (Nederlandse Gedragscode Wetenschapsbeoefening)b. Academic fraud, including plagiarism, fabrication of information or lab results, and cheating on exams- To become familiar with research in the Groningen Research Institute of Pharmacy",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/fwn/vak/show?code=WBFA001-05,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=21016
University of Groningen,RUG,,,,,,,,,,,,,https://www.rug.nl/ocasys/rug/main,,
University of Groningen,RUG,Science and Engineering,Academic Research and Communication Skills 3,,dr. H.J. Woerdenbag,,,,,,,,,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/fwn/vak/show?code=WBFA042-01,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=2969
University of Groningen,RUG,Letteren,Academic Skills,,"dr. L. Brummer
              R. Dijkstra  MA.
              N. Fridzema  MA.
              R.F. Gabdulhakov  PhD.
             dr. D. Leberg
              M. Miedema  MA.
              R.L. van der Merwe  PhD.",,Admission to the bachelor’s degree programme of Media Studies. This course is not open for other students.,,"After completion of this course unit the student is able: - to name the most important search engines in the field of media studies; - to perform a search for relevant academic literature in their field of interest; - to handle the major media databases of relevance in the field of media studies; - to compile a bibliography and accurately reference sources following the provided guidelines; - to critically read academic literature; - to critically reflect on academic work in an oral presentation; - to write a coherent essay (on a topic in the field of media history), in which the student sets up and",,,"In this course students are taught basic academic skills crucial for their academic career and beyond. Students will acquire key research competences such as how to find and identify relevant literature in the library and online, how to use media databases, how to reference, how to write essays, and how to prepare and hold oral presentations. Assessment will be based on portfolio assignments, allowing students to start building on their transferrable skills applicable for working in a variety of media-related positions. The course is linked with the course unit Media History, which runs parallel. The practical assignments that students have to fulfill for the academic skills course during the 7 weeks will revolve around the six historical themes and periods that are discussed during the lectures on media history. Students choose one of these six as their focus for the assignments, which gives them the opportunity to concentrate on a clear and coherent topic throughout the course. Consequently, this course offers the students a first opportunity to apply newly acquired knowledge on media history and to write an academic essay.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/let/vak/show?code=LJX005P05,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=20556
